name_in_ds2_full	TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies
Desulfovibrio_piger_ATCC_29098	411464	Desulfovibrio piger	Desulfovibrio piger ATCC 29098	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio piger	1
Desulfovibrio_vulgaris_Miyazaki_F	883	Desulfovibrio vulgaris Miyazaki	Desulfovibrio vulgaris str. 'Miyazaki F'	Bacteria	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae	Desulfovibrio	Desulfovibrio vulgaris	1
Enterobacter_cancerogenus_ATCC_35316	500639	Enterobacter cancerogenus	Enterobacter cancerogenus ATCC 35316	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	Enterobacter cancerogenus	1
Enterobacter_sp_638	399742	Enterobacter sp. 638	Enterobacter sp. 638	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	1	1
Enterococcus_faecalis_TX1322	226185	Enterococcus faecalis	Enterococcus faecalis V583	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	Enterococcus faecalis	1
Enterococcus_sp_7L76	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Escherichia_fergusonii_UMN026_ATCC_35469	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Eubacterium_dolichum_DSM_3991	428127	Eubacterium dolichum	Eubacterium dolichum DSM 3991	Bacteria	Firmicutes	Erysipelotrichia	Erysipelotrichales	Erysipelotrichaceae	1	Eubacterium dolichum	1
Finegoldia_magna_ATCC_29328	334413	Finegoldia magna ATCC29328	Finegoldia magna ATCC 29328	Bacteria	Firmicutes	Clostridia	Clostridiales	Peptoniphilaceae	Finegoldia	Finegoldia magna	1
Fusobacterium_nucleatum_nucleatum_ATCC_25586	190304	Fusobacterium nucleatum nucleatum	Fusobacterium nucleatum subsp. nucleatum ATCC 25586	Bacteria	Fusobacteria	Fusobacteriia	Fusobacteriales	Fusobacteriaceae	Fusobacterium	Fusobacterium nucleatum	Fusobacterium nucleatum subsp. nucleatum
Haemophilus_influenzae_NTHi_86_028NP	71421	Haemophilus influenzae	Haemophilus influenzae Rd KW20	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus influenzae	1
Haemophilus_parasuis_SH0165	557723	Haemophilus parasuis	Haemophilus parasuis SH0165	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Haemophilus	Haemophilus parasuis	1
Helicobacter_pullorum_MIT_98_5489	537972	Helicobacter pullorum	Helicobacter pullorum MIT 98-5489	Bacteria	Proteobacteria	Epsilonproteobacteria	Campylobacterales	Helicobacteraceae	Helicobacter	Helicobacter pullorum	1
Klebsiella_pneumoniae_342	272620	Klebsiella pneumoniae	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Klebsiella	Klebsiella pneumoniae	Klebsiella pneumoniae subsp. pneumoniae
Lactobacillus_acidophilus_NCFM	272621	Lactobacillus acidophilus NCFM	Lactobacillus acidophilus NCFM	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus acidophilus	1
Lactobacillus_casei_casei_BL23	543734	Lactobacillus casei	Lactobacillus casei BL23	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus casei	1
Lactobacillus_delbrueckii_bulgaricus_ATCC_11842	390333	Lactobacillus delbrueckii	Lactobacillus delbrueckii subsp. bulgaricus ATCC 11842	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus delbrueckii	Lactobacillus delbrueckii subsp. bulgaricus
Lactobacillus_fermentum_IFO_3956	712938	Lactobacillus fermentum	Lactobacillus fermentum CECT 5716	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus fermentum	1
Lactobacillus_gasseri_ATCC_33323	324831	Lactobacillus gasseri	Lactobacillus gasseri ATCC 33323	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus gasseri	1
Lactobacillus_helveticus_DPC_4571	405566	Lactobacillus helveticus	Lactobacillus helveticus DPC 4571	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus helveticus	1
Lactobacillus_hilgardii_ATCC_8290	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactobacillus_johnsonii_NCC_533	257314	Lactobacillus johnsonii	Lactobacillus johnsonii NCC 533	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus johnsonii	1
Lactobacillus_paracasei_ATCC_25302	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Lactobacillus_reuteri_SD2112_ATCC_55730	349123	Lactobacillus reuteri	Lactobacillus reuteri 100-23	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus reuteri	1
Lactobacillus_sakei_sakei_23K	314315	Lactobacillus sakei	Lactobacillus sakei subsp. sakei 23K	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus sakei	Lactobacillus sakei subsp. sakei
Lactobacillus_salivarius_HO66_ATCC_11741	362948	Lactobacillus salivarius	Lactobacillus salivarius UCC118	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus salivarius	1
Lactobacillus_ultunensis_DSM_16047	525365	Lactobacillus ultunensis	Lactobacillus ultunensis DSM 16047	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Lactobacillus	Lactobacillus ultunensis	1
Lactococcus_lactis_cremoris_MG1363	416870	Lactococcus lactis cremoris	Lactococcus lactis subsp. cremoris MG1363	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Lactococcus	Lactococcus lactis	Lactococcus lactis subsp. cremoris
Megamonas_hypermegale_ART12_1	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Methanobrevibacter_smithii_DSM_2375	420247	Methanobrevibacter smithii	Methanobrevibacter smithii ATCC 35061	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanobrevibacter	Methanobrevibacter smithii	1
Methanosphaera_stadtmanae_DSM_3091	339860	Methanosphaera stadtmanae	Methanosphaera stadtmanae DSM 3091	Archaea	Euryarchaeota	Methanobacteria	Methanobacteriales	Methanobacteriaceae	Methanosphaera	Methanosphaera stadtmanae	1
Mitsuokella_multacida_DSM_20544	500635	Mitsuokella multacida	Mitsuokella multacida DSM 20544	Bacteria	Firmicutes	Negativicutes	Selenomonadales	Veillonellaceae	Mitsuokella	Mitsuokella multacida	1
Pasteurella_multocida_multocida_Pm70	272843	Pasteurella multocida	Pasteurella multocida subsp. multocida str. Pm70	Bacteria	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae	Pasteurella	Pasteurella multocida	Pasteurella multocida subsp. multocida
Pediococcus_pentosaceus_ATCC_25745	278197	Pediococcus pentosaceus	Pediococcus pentosaceus ATCC 25745	Bacteria	Firmicutes	Bacilli	Lactobacillales	Lactobacillaceae	Pediococcus	Pediococcus pentosaceus	1
Porphyromonas_gingivalis_ATCC_33277	431947	Porphyromonas gingivalis ATCC33277	Porphyromonas gingivalis ATCC 33277	Bacteria	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae	Porphyromonas	Porphyromonas gingivalis	1
Proteus_mirabilis_HI4320	529507	Proteus mirabilis	Proteus mirabilis HI4320	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus	Proteus mirabilis	1
Proteus_penneri_ATCC_35198	471881	Proteus penneri	Proteus penneri ATCC 35198	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Proteus	Proteus penneri	1
Pseudomonas_aeruginosa_LESB58	208964	Pseudomonas aeruginosa	Pseudomonas aeruginosa PAO1	Bacteria	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae	Pseudomonas	Pseudomonas aeruginosa	1
Salmonella_enterica_sv_Heidelberg_SL476_CVM30485	99287	Salmonella enterica LT2	Salmonella enterica subsp. enterica serovar Typhimurium str. LT2	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Salmonella	Salmonella enterica	Salmonella enterica subsp. enterica
Staphylococcus_saprophyticus_saprophyticus_ATCC_15305	342451	Staphylococcus saprophyticus	Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305	Bacteria	Firmicutes	Bacilli	Bacillales	Staphylococcaceae	Staphylococcus	Staphylococcus saprophyticus	Staphylococcus saprophyticus subsp. saprophyticus
Streptococcus_gordonii_Challis_CH1	467705	Streptococcus gordonii	Streptococcus gordonii str. Challis substr. CH1	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus gordonii	1
Streptococcus_infantarius_infantarius_ATCC_BAA_102	1069533	Streptococcus infantarius	Streptococcus infantarius subsp. infantarius CJ18	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus infantarius	Streptococcus infantarius subsp. infantarius
Streptococcus_mutans_UA159	210007	Streptococcus mutans	Streptococcus mutans UA159	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus mutans	1
Streptococcus_pneumoniae_Hungary19A_6	170187	Streptococcus pneumoniae TIGR4	Streptococcus pneumoniae TIGR4	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pneumoniae	1
Streptococcus_pyogenes_M4_MGAS10750	160490	Streptococcus pyogenes	Streptococcus pyogenes M1 GAS	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus pyogenes	1
Streptococcus_sanguinis_SK36	388919	Streptococcus sanguinis SK36	Streptococcus sanguinis SK36	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus sanguinis	1
Streptococcus_suis_05ZYH33	391295	Streptococcus suis	Streptococcus suis 05ZYH33	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus suis	1
Thermoanaerobacter_sp_X514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Tropheryma_whipplei_Twist	203267	Tropheryma whipplei	Tropheryma whipplei str. Twist	Bacteria	Actinobacteria	Actinobacteria	Micrococcales	1	Tropheryma	Tropheryma whipplei	1
