TID	name	official name	superkingdom	phylum	class	order	family	genus	species	subspecies	STRING_type
397945	Acidovorax citrulli	Acidovorax citrulli AAC00-1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Acidovorax	Acidovorax citrulli	1	core
397948	Caldivirga maquilingensis	Caldivirga maquilingensis IC-167	Archaea	Crenarchaeota	Thermoprotei	Thermoproteales	Thermoproteaceae	Caldivirga	Caldivirga maquilingensis	1	core
398578	Delftia acidovorans	Delftia acidovorans SPH-1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Delftia	Delftia acidovorans	1	core
398580	Dinoroseobacter shibae	Dinoroseobacter shibae DFL 12	Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Dinoroseobacter	Dinoroseobacter shibae	1	core
398720	Leeuwenhoekiella blandensis	Leeuwenhoekiella blandensis MED217	Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae	Leeuwenhoekiella	Leeuwenhoekiella blandensis	1	core
399550	Staphylothermus marinus	Staphylothermus marinus F1	Archaea	Crenarchaeota	Thermoprotei	Desulfurococcales	Desulfurococcaceae	Staphylothermus	Staphylothermus marinus	1	core
399741	Serratia proteamaculans	Serratia proteamaculans 568	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Serratia	Serratia proteamaculans	1	core
399742	Enterobacter sp. 638	Enterobacter sp. 638	Bacteria	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae	Enterobacter	1	1	core
399795	Comamonas testosteroni KF1	Comamonas testosteroni KF-1	Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae	Comamonas	Comamonas testosteroni	1	core
400668	Marinomonas sp. MWYL1	Marinomonas sp. MWYL1	Bacteria	Proteobacteria	Gammaproteobacteria	Oceanospirillales	Oceanospirillaceae	Marinomonas	1	1	core
